Compréhension;Expertise;Document;Groupes
16;Expert;Linéaire;G1
25;Expert;Linéaire;G1
24;Expert;Linéaire;G1
20;Expert;Linéaire;G1
20;Expert;Linéaire;G1
15;Non-Expert;Linéaire;G2
15;Non-Expert;Linéaire;G2
15;Non-Expert;Linéaire;G2
10;Non-Expert;Linéaire;G2
12;Non-Expert;Linéaire;G2
19;Expert;Hiérarchique;G3
22;Expert;Hiérarchique;G3
19;Expert;Hiérarchique;G3
18;Expert;Hiérarchique;G3
23;Expert;Hiérarchique;G3
21;Non-Expert;Hiérarchique;G4
20;Non-Expert;Hiérarchique;G4
19;Non-Expert;Hiérarchique;G4
21;Non-Expert;Hiérarchique;G4
13;Non-Expert;Hiérarchique;G4
16;Expert;Mixte;G5
17;Expert;Mixte;G5
20;Expert;Mixte;G5
14;Expert;Mixte;G5
21;Expert;Mixte;G5
18;Non-Expert;Mixte;G6
19;Non-Expert;Mixte;G6
18;Non-Expert;Mixte;G6
22;Non-Expert;Mixte;G6
11;Non-Expert;Mixte;G6
