"Liste";"FRFRM";"NSYLL";"NGRAPH";"NCOUNT"
"A";370;2;7;0
"A";846;2;7;1
"A";4275;2;6;3
"A";3982;2;6;1
"A";2144;2;6;0
"A";1939;2;6;0
"A";1178;2;6;6
"A";1174;2;6;1
"A";638;2;6;0
"A";327;2;6;0
"A";246;2;6;2
"A";246;2;6;0
"A";242;2;6;4
"A";46;2;6;1
"A";46;3;6;0
"A";846;2;7;1
"A";2199;2;7;0
"A";2190;2;7;2
"A";1918;2;7;0
"A";1867;2;7;2
"B";344;2;7;0
"B";1412;2;6;1
"B";4768;3;6;1
"B";3573;2;6;7
"B";2144;2;6;2
"B";1816;2;6;0
"B";1255;2;6;5
"B";472;2;6;1
"B";467;3;6;0
"B";514;2;6;0
"B";268;2;6;2
"B";259;2;6;3
"B";251;2;6;1
"B";63;2;6;0
"B";46;2;6;0
"B";782;2;7;1
"B";2450;2;7;2
"B";2441;2;7;0
"B";1676;2;7;0
"B";1540;2;7;0
"C";319;2;7;0
"C";914;2;7;2
"C";5483;2;6;0
"C";2931;2;6;4
"C";2203;2;6;1
"C";1791;2;6;0
"C";1297;2;6;4
"C";157;2;6;0
"C";502;2;6;2
"C";497;2;6;0
"C";310;2;6;3
"C";302;2;6;2
"C";280;2;6;1
"C";110;3;6;0
"C";85;2;6;1
"C";731;2;7;1
"C";3195;2;7;1
"C";2667;2;7;0
"C";1506;2;7;1
"C";1476;2;7;0
"D";314;2;7;2
"D";961;2;7;0
"D";689;2;7;0
"D";2773;2;6;2
"D";2237;2;6;2
"D";1786;2;6;2
"D";1310;2;6;1
"D";1135;2;6;1
"D";1072;2;6;2
"D";3416;2;7;1
"D";370;2;6;1
"D";344;2;6;0
"D";604;2;6;2
"D";1157;2;6;1
"D";119;2;6;0
"D";714;2;7;1
"D";3645;2;7;2
"D";1059;2;6;1
"D";1391;2;7;1
"D";1348;2;7;0
"E";263;2;7;2
"E";642;2;7;0
"E";604;2;7;1
"E";2658;2;6;0
"E";2259;2;6;5
"E";1523;2;6;0
"E";1327;2;6;2
"E";1050;2;6;3
"E";1042;2;6;1
"E";901;2;6;1
"E";421;2;6;0
"E";408;2;6;0
"E";395;3;6;0
"E";174;2;6;0
"E";165;2;6;0
"E";5058;2;7;1
"E";4016;2;7;1
"E";1327;2;7;1
"E";1301;2;7;1
"E";991;2;7;0
"F";263;2;7;1
"F";1169;2;7;1
"F";1152;2;7;1
"F";2590;2;6;2
"F";2399;2;6;4
"F";906;2;7;1
"F";1386;2;6;0
"F";893;3;6;0
"F";727;2;6;2
"F";701;2;6;1
"F";1165;2;6;4
"F";574;2;6;0
"F";455;2;6;2
"F";204;2;6;1
"F";182;2;6;0
"F";523;2;7;0
"F";4794;2;7;1
"F";4658;2;7;0
"F";1301;2;7;1
"F";510;2;7;0
