DOMAINE 1;DOMAINE 2;DOMAINE 3;DOMAINE 4;violences psychologiques
17;19;9;24;V
28;23;13;33;V
18;12;6;18;V
32;17;13;33;V
21;13;9;17;V
30;22;12;31;V
20;19;11;28;V
20;17;8;21;V
18;12;10;19;V
18;16;14;22;V
20;18;5;20;V
26;25;11;26;V
26;21;12;30;V
18;15;12;24;V
19;17;12;27;V
25;25;14;24;V
26;24;12;31;NV
33;20;10;29;NV
28;21;11;30;NV
29;24;14;31;NV
23;19;11;30;NV
23;22;13;26;NV
27;22;8;30;NV
29;23;11;32;NV
30;24;12;30;NV
26;24;11;31;NV
21;22;12;29;NV
28;23;11;32;NV
26;20;10;25;NV
29;28;13;34;NV
31;27;14;36;NV
29;23;14;32;NV
31;23;12;28;NV
22;21;10;34;NV
30;26;15;32;NV
28;19;11;29;NV
22;16;8;29;NV
31;21;13;31;NV
29;23;12;32;NV
29;23;12;31;NV
33;26;12;31;NV
29;22;10;28;NV
28;24;12;31;NV
31;21;12;28;NV
31;24;11;30;NV
27;22;12;29;NV
31;21;12;27;NV
26;25;11;31;NV
21;20;12;28;NV
